id,teacher_id,class_id,subject_id,academic_year_id,created_at
371,15,6,12,2,2026-09-19 20:23:43.353+00
372,15,7,12,2,2026-09-19 20:23:43.717+00
381,13,4,9,2,2026-09-19 20:26:38.721+00
382,13,4,13,2,2026-09-19 20:26:39.128+00
383,13,10,9,2,2026-09-19 20:26:39.542+00
384,13,10,13,2,2026-09-19 20:26:39.949+00
385,13,5,9,2,2026-09-19 20:26:40.36+00
386,13,5,13,2,2026-09-19 20:26:40.767+00
387,11,4,11,2,2026-09-19 20:28:38.161+00
388,11,10,11,2,2026-09-19 20:28:38.499+00
389,11,5,11,2,2026-09-19 20:28:38.797+00
390,11,5,16,2,2026-09-19 20:28:39.146+00
391,11,5,17,2,2026-09-19 20:28:39.663+00
392,11,6,11,2,2026-09-19 20:28:40.017+00
393,11,6,13,2,2026-09-19 20:28:40.373+00
400,16,4,14,2,2026-09-19 20:33:33.544+00
401,16,10,14,2,2026-09-19 20:33:33.951+00
402,16,6,10,2,2026-09-19 20:33:34.36+00
403,16,6,14,2,2026-09-19 20:33:34.77+00
404,16,6,15,2,2026-09-19 20:33:35.179+00
405,16,6,16,2,2026-09-19 20:33:35.589+00
406,16,6,17,2,2026-09-19 20:33:35.91+00
407,16,7,14,2,2026-09-19 20:33:36.22+00
411,14,7,16,2,2026-09-19 20:34:19.202+00
412,14,7,17,2,2026-09-19 20:34:19.52+00
413,14,8,13,2,2026-09-19 20:34:19.847+00
414,14,9,13,2,2026-09-19 20:34:20.162+00
415,14,6,9,2,2026-09-19 20:34:20.8+00
416,14,7,9,2,2026-09-19 20:34:21.161+00
417,14,7,13,2,2026-09-19 20:34:21.567+00
422,8,4,10,2,2026-09-19 20:34:59.557+00
423,8,4,15,2,2026-09-19 20:34:59.966+00
424,8,10,10,2,2026-09-19 20:35:00.376+00
425,8,10,15,2,2026-09-19 20:35:00.786+00
426,8,10,16,2,2026-09-19 20:35:01.195+00
427,8,10,17,2,2026-09-19 20:35:01.604+00
428,8,5,10,2,2026-09-19 20:35:02.015+00
429,8,5,14,2,2026-09-19 20:35:02.424+00
430,8,5,15,2,2026-09-19 20:35:02.744+00
431,3,7,10,2,2026-09-19 20:35:33.349+00
432,3,7,15,2,2026-09-19 20:35:33.659+00
433,3,8,9,2,2026-09-19 20:35:33.956+00
434,3,8,10,2,2026-09-19 20:35:34.376+00
435,3,8,15,2,2026-09-19 20:35:34.786+00
436,3,9,9,2,2026-09-19 20:35:35.195+00
437,3,9,10,2,2026-09-19 20:35:35.601+00
438,3,9,15,2,2026-09-19 20:35:36.012+00
439,3,9,16,2,2026-09-19 20:35:36.321+00
440,3,9,17,2,2026-09-19 20:35:36.731+00
