id,teacher_id,class_id,subject_id,academic_year_id,created_at
484,4,7,11,2,2026-09-20 01:20:20.830549+00
485,16,7,14,2,2026-09-20 01:20:20.830549+00
486,4,7,16,2,2026-09-20 01:20:20.830549+00
487,3,8,10,2,2026-09-20 01:20:20.830549+00
488,3,8,15,2,2026-09-20 01:20:20.830549+00
489,3,8,9,2,2026-09-20 01:20:20.830549+00
490,14,8,13,2,2026-09-20 01:20:20.830549+00
492,4,8,11,2,2026-09-20 01:20:20.830549+00
493,4,8,14,2,2026-09-20 01:20:20.830549+00
494,4,8,16,2,2026-09-20 01:20:20.830549+00
495,3,9,10,2,2026-09-20 01:20:20.830549+00
496,3,9,15,2,2026-09-20 01:20:20.830549+00
497,3,9,9,2,2026-09-20 01:20:20.830549+00
498,14,9,13,2,2026-09-20 01:20:20.830549+00
500,4,9,11,2,2026-09-20 01:20:20.830549+00
501,4,9,14,2,2026-09-20 01:20:20.830549+00
502,17,2,1,2,2026-09-20 01:35:33.451+00
503,17,2,2,2,2026-09-20 01:35:34.065+00
504,17,2,3,2,2026-09-20 01:35:34.525+00
505,17,2,4,2,2026-09-20 01:35:35.372+00
506,17,2,5,2,2026-09-20 01:35:35.83+00
507,17,2,6,2,2026-09-20 01:35:36.32+00
508,17,2,7,2,2026-09-20 01:35:36.933+00
509,17,2,8,2,2026-09-20 01:35:37.547+00
510,17,8,12,2,2026-09-20 01:35:38.163+00
511,17,9,12,2,2026-09-20 01:35:40.928+00
512,9,3,1,2,2026-09-20 01:35:58.643+00
513,9,3,2,2,2026-09-20 01:35:59.256+00
514,9,3,3,2,2026-09-20 01:35:59.803+00
515,9,3,4,2,2026-09-20 01:36:00.237+00
516,9,3,5,2,2026-09-20 01:36:00.693+00
517,9,3,6,2,2026-09-20 01:36:01.129+00
518,9,3,7,2,2026-09-20 01:36:01.924+00
